S,D,gen,compositionality
5,2,44,1.2675361874315513e-16
5,2,45,8.761210127526911e-17
5,2,46,6.055748440146622e-17
5,2,47,4.1857333218293584e-17
5,2,48,2.893178872048463e-17
5,2,49,1.9997652363599043e-17
5,2,50,1.3822377313719705e-17
5,2,51,9.554027199243093e-18
5,2,52,6.60374360011685e-18
5,2,53,4.564507576400782e-18
5,2,54,3.154987636808231e-18
5,2,55,2.1807274545618568e-18
5,2,56,1.5073188165931608e-18
5,2,57,1.0418587660291961e-18
5,2,58,7.201327790793829e-19
5,2,59,4.977557768996712e-19
5,2,60,3.440487929930539e-19
5,2,61,2.378065257167997e-19
5,2,62,1.643718705754525e-19
5,2,63,1.1361383694175317e-19
5,2,64,7.852988409414005e-20
5,2,65,5.42798558858698e-20
5,2,66,3.751823638831333e-20
5,2,67,2.5932604991602265e-20
5,2,68,1.7924616570195544e-20
5,2,69,1.2389494973319205e-20
5,2,70,8.563618925558263e-21
5,2,71,5.919173401345892e-21
5,2,72,4.091332655010294e-21
5,2,73,2.8279291311431253e-21
5,2,74,1.9546646154461347e-21
5,2,75,1.3510641821963731e-21
5,2,76,9.338555627341363e-22
5,2,77,6.454809649618372e-22
5,2,78,4.461564429816235e-22
5,2,79,3.0838333338889914e-22
5,2,80,2.1315456003840784e-22
5,2,81,1.47332431898548e-22
5,2,82,1.0183617692827674e-22
5,2,83,7.038916549282513e-23
5,2,84,4.8652991188640886e-23
5,2,85,3.36289475095887e-23
5,2,86,2.3244328518627788e-23
5,2,87,1.6066479872075583e-23
5,2,88,1.110515088757868e-23
5,2,89,7.67588029349441e-24
5,2,90,5.3055684588633545e-24
5,2,91,3.667208918766363e-24
5,2,92,2.534774804651319e-24
5,2,93,1.7520363449749978e-24
5,2,94,1.2110075216467226e-24
5,2,95,8.370483989622175e-25
5,2,96,5.785678533626867e-25
5,2,97,3.9990610024429043e-25
5,2,98,2.764150964888545e-25
5,2,99,1.9105811469309687e-25
5,2,100,1.3205936887586902e-25
5,2,101,9.127943576700099e-26
6,2,1,1.0e-9
6,2,2,5.94135802392746e-10
6,2,3,3.52997351703293e-10
6,2,4,2.0972836481419643e-10
6,2,5,1.2460713032606227e-10
6,2,6,7.403355736846496e-11
6,2,7,4.3985987016338935e-11
6,2,8,2.6133649693201682e-11
6,2,9,1.5526936931865485e-11
6,2,10,9.225109133883149e-12
6,2,11,5.480967618118501e-12
6,2,12,3.2564390940958753e-12
6,2,13,1.934767054361703e-12
6,2,14,1.1495143764337452e-12
6,2,15,6.829676464921679e-13
6,2,16,4.057755307090445e-13
6,2,17,2.4108577056014474e-13
6,2,18,1.4323768775563673e-13
6,2,19,8.510263855851721e-14
6,2,20,5.0562524452204847e-14
6,2,21,3.0041006040275754e-14
6,2,22,1.784843723071932e-14
6,2,23,1.0604395576893386e-14
6,2,24,6.300451075777709e-15
6,2,25,3.743323555824731e-15
6,2,26,2.224042544741548e-15
6,2,27,1.3213833020455212e-15
6,2,28,7.85081128530134e-16
6,2,29,4.664448063026272e-16
6,2,30,2.7713155930017294e-16
6,2,31,1.6465378137433164e-16
6,2,32,9.782670652641651e-17
6,2,33,5.812234878498531e-17
6,2,34,3.453256833675835e-17
6,2,35,2.0517035200080267e-17
6,2,36,1.2189905172887234e-17
6,2,37,7.242459091916051e-18
6,2,38,4.303004244425446e-18
6,2,39,2.556568879789818e-18
6,2,40,1.5189491029615482e-18
6,2,41,9.024620441978365e-19
6,2,42,5.3618501082742e-19
6,2,43,3.1856671167987256e-19
6,2,44,1.8927188888387553e-19
6,2,45,1.1245320558687085e-19
6,2,46,6.681247554158245e-20
6,2,47,3.969568377084773e-20
6,2,48,2.3584626931753745e-20
6,2,49,1.4012471248032748e-20
6,2,50,8.325310849525658e-21
6,2,51,4.946365242387946e-21
6,2,52,2.9388126825916135e-21
6,2,53,1.746053831478048e-21
6,2,54,1.0373930943195224e-21
6,2,55,6.163523785694714e-22
6,2,56,3.661970150451348e-22
6,2,57,2.1757075739564407e-22
6,2,58,1.2926657653907907e-22
6,2,59,7.680190118448396e-23
6,2,60,4.5630759191398807e-23
6,2,61,2.7110867729457715e-23
6,2,62,1.6107537154076005e-23
6,2,63,9.570064512838403e-24
6,2,64,5.685917959016662e-24
6,2,65,3.378207429354047e-24
6,2,66,2.0071139819464698e-24
6,2,67,1.1924982763107921e-24
6,2,68,7.085059203389761e-25
6,2,69,4.209487335347326e-25
6,2,70,2.501007135970256e-25
6,2,71,1.485937881710728e-25
6,2,72,8.828488957694941e-26
6,2,73,5.245321371470005e-26
6,2,74,3.1164332222468497e-26
6,2,75,1.851584553341113e-26
6,2,76,1.1000926744387824e-26
6,2,77,6.536044439181058e-27
6,2,78,3.883298007846784e-27
6,2,79,2.307206378118853e-27
6,2,80,1.3707939129255575e-27
6,2,81,8.144377414758355e-28
6,2,82,4.838866210928977e-28
6,2,83,2.874943659271084e-28
6,2,84,1.7081069580545848e-28
6,2,85,1.0148474982268787e-28
6,2,86,6.029572327428235e-29
6,2,87,3.582384793302255e-29
6,2,88,2.1284230639218566e-29
6,2,89,1.264572345077024e-29
6,2,90,7.513277050226119e-30
6,2,91,4.46390688940902e-30
6,2,92,2.6521669018865217e-30
6,2,93,1.5757473105344243e-30
6,2,94,9.362078928329492e-31
6,2,95,5.562346276862409e-31
6,2,96,3.304789068814845e-31
6,2,97,1.9634935053915285e-31
6,2,98,1.1665817894687278e-31
6,2,99,6.931080076318805e-32
6,2,100,4.118002823121496e-32
6,2,101,2.4466529118854477e-32
7,2,1,1.0e-9
7,2,2,5.197834235139517e-10
7,2,3,2.701748073747499e-10
7,2,4,1.404323863362136e-10
7,2,5,7.29944265492603e-11
7,2,6,3.794129293324234e-11
7,2,7,1.9721255135560383e-11
7,2,8,1.0250781511505091e-11
7,2,9,5.328186308347908e-12
7,2,10,2.76950292078888e-12
7,2,11,1.4395417097640217e-12
7,2,12,7.482499182778845e-13
7,2,13,3.889279042110433e-13
7,2,14,2.0215827757407738e-13
7,2,15,1.0507852162117551e-13
7,2,16,5.461807371229693e-14
7,2,17,2.8389569343167893e-14
7,2,18,1.47564275469693e-14
7,2,19,7.670146430078152e-15
7,2,20,3.986814970736164e-15
7,2,21,2.0722803346433684e-15
7,2,22,1.0771369669449959e-15
7,2,23,5.598779403362606e-16
7,2,24,2.9101527261126696e-16
7,2,25,1.5126491471006275e-16
7,2,26,7.862499523455147e-17
7,2,27,4.0867969201466096e-17
7,2,28,2.1242492946034835e-17
7,2,29,1.1041495708726131e-17
7,2,30,5.739186440853892e-18
7,2,31,2.983133976753706e-18
7,2,32,1.5505835914155024e-18
7,2,33,8.059676476828591e-19
7,2,34,4.1892862320208535e-19
7,2,35,2.177521540009171e-19
7,2,36,1.1318396009710294e-19
7,2,37,5.883114627287977e-20
7,2,38,3.057945462247141e-20
7,2,39,1.5894693614679e-20
7,2,40,8.261798263689867e-21
7,2,41,4.294345786374403e-21
7,2,42,2.232129754850166e-21
7,2,43,1.1602240458363198e-21
7,2,44,6.030652266571118e-22
7,2,45,3.134633081499686e-22
7,2,46,1.6293303147486894e-22
7,2,47,8.468988891321792e-23
7,2,48,4.4020400401372694e-23
7,2,49,2.288107442770223e-23
7,2,50,1.1893203201071368e-23
7,2,51,6.181889877108308e-24
7,2,52,3.213243884477784e-24
7,2,53,1.670190907050508e-24
7,2,54,8.681375476880598e-25
7,2,55,4.5124350667001155e-25
7,2,56,2.345488947622547e-25
7,2,57,1.2191462751490776e-25
7,2,58,6.336920247338806e-26
7,2,59,3.2938261010740607e-26
7,2,60,1.712076207472063e-26
7,2,61,8.899088325385805e-27
7,2,62,4.625598596452092e-27
7,2,63,2.4043094745406928e-27
7,2,64,1.2497202100069893e-27
7,2,65,6.495838492664394e-28
7,2,66,3.37642917069769e-28
7,2,67,1.7550119137987137e-28
7,2,68,9.12226100966594e-29
7,2,69,4.741600058335344e-29
7,2,70,2.4646051115379194e-29
7,2,71,1.2810608826319624e-29
7,2,72,6.658742113805492e-30
7,2,73,3.461103772606957e-30
7,2,74,1.799024368268849e-30
7,2,75,9.35103045230961e-31
7,2,76,4.860510622441676e-31
7,2,77,2.526412851648166e-31
7,2,78,1.3131875213898085e-31
7,2,79,6.82573105662012e-32
7,2,80,3.547901857002066e-32
7,2,81,1.844140573735362e-32
7,2,82,9.58553700966991e-33
7,2,83,4.9824032436768514e-33
7,2,84,2.5897706156221352e-33
7,2,85,1.3461198368581608e-33
7,2,86,6.996907773423551e-34
7,2,87,3.636876676898227e-34
7,2,88,1.8903882102328258e-34
7,2,89,9.82592455797826e-35
7,2,90,5.107352706521009e-35
7,2,91,2.6547172751929436e-35
7,2,92,1.379878033919539e-35
7,2,93,7.172377285845876e-36
7,2,94,3.7280828207978785e-36
7,2,95,1.937795651959925e-36
7,2,96,1.0072340581615996e-36
7,2,97,5.235435670910802e-37
7,2,98,2.7212926769249145e-37
7,2,99,1.414482824157565e-37
7,2,100,7.352247249265522e-38
7,2,101,3.821576246182185e-38
8,2,1,1.0e-9
8,2,2,4.61425781202392e-10
8,2,3,2.1291375157006865e-10
8,2,4,9.824389415492882e-11
8,2,5,4.533226561302085e-11
8,2,6,2.091747607622278e-11
8,2,7,9.651862740228413e-12
8,2,8,4.4536183054232106e-12
8,2,9,2.0550143059682525e-12
8,2,10,9.482365816111256e-13
8,2,11,4.375408054796998e-13
8,2,12,2.018926079972152e-13
8,2,13,9.315845437371272e-14
8,2,14,4.298571258943244e-14
8,2,15,1.9834716014166742e-14
8,2,16,9.152249332708733e-15
8,2,17,4.223083798539917e-15
8,2,18,1.948639741025494e-15
8,2,19,8.991526148774897e-16
8,2,20,4.1489219778282786e-16
8,2,21,1.914419564964719e-16
8,2,22,8.833625434041352e-17
8,2,23,4.0760625171723945e-17
8,2,24,1.8808003314101108e-17
8,2,25,8.678497622961679e-18
8,2,26,4.004482545751355e-18
8,2,27,1.847771487175305e-18
8,2,28,8.526094020413381e-19
8,2,29,3.9341595943801915e-19
8,2,30,1.8153226643990603e-19
8,2,31,8.376366786411666e-20
8,2,32,3.865071588456549e-20
8,2,33,1.783443677290739e-20
8,2,34,8.229268921092508e-21
8,2,35,3.79719684103145e-21
8,2,36,1.7521245189329658e-21
8,2,37,8.0847542499592305e-22
8,2,38,3.73051404600169e-22
8,2,39,1.7213553581404257e-22
8,2,40,7.942777409388182e-23
8,2,41,3.665002271421788e-23
8,2,42,1.6911265363738203e-23
8,2,43,7.803293832388954e-24
8,2,44,3.6006409529333736e-24
8,2,45,1.6614285647080237e-24
8,2,46,7.666259734614649e-25
8,2,47,3.5374098873099776e-25
8,2,48,1.632252120853478e-25
8,2,49,7.531632100617843e-26
8,2,50,3.475289226115162e-26
8,2,51,1.603588046229894e-26
8,2,52,7.39936867034789e-27
8,2,53,3.4142594694720434e-27
8,2,54,1.5754273430913457e-27
8,2,55,7.269427925885349e-28
8,2,56,3.354301459942209e-28
8,2,57,1.547761171701847e-28
8,2,58,7.14176907840944e-29
8,2,59,3.295396376512164e-29
8,2,60,1.5205808475605422e-29
8,2,61,7.016352055394091e-30
8,2,62,3.237525728685257e-30
8,2,63,1.493877838675568e-30
8,2,64,6.893137488029343e-31
8,2,65,3.1806713506775975e-31
8,2,66,1.467643762885901e-31
8,2,67,6.772086698863156e-32
8,2,68,3.1248153957156605e-32
8,2,69,1.4418703852301246e-32
8,2,70,6.653161689660476e-33
8,2,71,3.0699403304341504e-33
8,2,72,1.416549615361459e-33
8,2,73,6.536325129475471e-34
8,2,74,3.0160289293722224e-34
8,2,75,1.3916735050081763e-34
8,2,76,6.421540342933227e-35
8,2,77,2.963064269566352e-35
8,2,78,1.3672342454786128e-35
8,2,79,6.308771298717221e-36
8,2,80,2.911029725238167e-36
8,2,81,1.3432241652099919e-36
8,2,82,6.1979825982589865e-37
8,2,83,2.8599089625755535e-37
8,2,84,1.3196357273602997e-37
8,2,85,6.089139464626373e-38
8,2,86,2.809685934605427e-38
8,2,87,1.2964615274424433e-38
8,2,88,5.982207731606969e-39
8,2,89,2.7603448761565313e-39
8,2,90,1.2736942909999601e-39
8,2,91,5.877153832983206e-40
8,2,92,2.711870298910704e-40
8,2,93,1.2513268713235405e-40
8,2,94,5.773944791995821e-41
8,2,95,2.664246986541036e-41
8,2,96,1.229352247207654e-41
8,2,97,5.672548210992339e-42
8,2,98,2.6174599899354262e-42
8,2,99,1.2077635207465694e-42
8,2,100,5.5729322612573555e-43
8,2,101,2.5714946225040002e-43
9,2,1,1.0e-9
9,2,2,4.14570949511507e-10
9,2,3,1.7186907218830558e-10
9,2,4,7.125192445429942e-11
9,2,5,2.953897797811302e-11
9,2,6,1.2246002149099994e-11
9,2,7,5.076836739142459e-12
9,2,8,2.1047090276575064e-12
9,2,9,8.725512201230431e-13
9,2,10,3.617343878577163e-13
9,2,11,1.4996456865919127e-13
9,2,12,6.217095362795209e-14
9,2,13,2.5774271279992157e-14
9,2,14,1.0685264118515238e-14
9,2,15,4.4298000918093585e-15
9,2,16,1.83646643037973e-15
9,2,17,7.613456318599115e-16
9,2,18,3.1563178153619394e-16
9,2,19,1.3085176737973655e-16
9,2,20,5.424734145296224e-17
9,2,21,2.2489371856738004e-17
9,2,22,9.323440245439367e-18
9,2,23,3.865227475627986e-18
9,2,24,1.6024110247992953e-18
9,2,25,6.643130601210343e-19
9,2,26,2.7540489613309295e-19
9,2,27,1.141748693007189e-19
9,2,28,4.733358398078907e-20
9,2,29,1.9623128856538173e-20
9,2,30,8.135179163204405e-21
9,2,31,3.3726089504520804e-21
9,2,32,1.3981856950510146e-21
9,2,33,5.79647171245051e-22
9,2,34,2.403048781872499e-22
9,2,35,9.962342153167556e-23
9,2,36,4.130097646184407e-23
9,2,37,1.7122185029144405e-23
9,2,38,7.098360505909622e-24
9,2,39,2.9427740551858366e-24
9,2,40,1.219988634370602e-24
9,2,41,5.057718465916864e-25
9,2,42,2.0967831469736235e-25
9,2,43,8.692653802420798e-26
9,2,44,3.603721740982273e-26
9,2,45,1.4939983440743537e-26
9,2,46,6.193683121295935e-27
9,2,47,2.5677210928097903e-27
9,2,48,1.0645025716266828e-27
9,2,49,4.413118419180906e-28
9,2,50,1.8295506935180807e-28
9,2,51,7.584785682623389e-29
9,2,52,3.144431802581272e-29
9,2,53,1.3035900781925172e-29
9,2,54,5.404305765407202e-30
9,2,55,2.240468172825433e-30
9,2,56,9.288330178456349e-31
9,2,57,3.850671861820058e-31
9,2,58,1.5963766901616543e-31
9,2,59,6.618114002804027e-32
9,2,60,2.743677806375103e-32
9,2,61,1.1374491134492178e-32
9,2,62,4.715533590278751e-33
9,2,63,1.9549232381585538e-33
9,2,64,8.104543831414867e-34
9,2,65,3.3599084318623006e-34
9,2,66,1.3929204289994674e-34
9,2,67,5.774643448984257e-35
9,2,68,2.3939994179602596e-35
9,2,69,9.924826119268313e-36
9,2,70,4.114544588387434e-36
9,2,71,1.7057706569751378e-36
9,2,72,7.071629609773509e-37
9,2,73,2.9316922021923557e-37
9,2,74,1.2153944200523166e-37
9,2,75,5.03867218799317e-38
9,2,76,2.088887113449397e-38
9,2,77,8.659919141262596e-39
9,2,78,3.590150901422708e-39
9,2,79,1.4883722682319487e-39
9,2,80,6.1703590452536544e-40
9,2,81,2.558051608457556e-40
9,2,82,1.0604938843171147e-40
9,2,83,4.3964995661371237e-41
9,2,84,1.822660999831282e-41
9,2,85,7.556223014084914e-42
9,2,86,3.1325905499635843e-42
9,2,87,1.2986810388509364e-42
9,2,88,5.383954314395009e-43
9,2,89,2.2320310524545806e-43
9,2,90,9.253352328420197e-44
9,2,91,3.83617106131734e-44
9,2,92,1.5903650795280018e-44
9,2,93,6.593191611516823e-45
9,2,94,2.7333457069541002e-45
9,2,95,1.1331657251814041e-45
9,2,96,4.697775906863947e-46
9,2,97,1.9475614184834628e-46
