S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
12,12,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.61593364197529,98.61593364197529,98.61593364197529,133.8680555555555
1,13,2,100,49,1,100,0,150,99.5,49,1.0,1.0,92.02958579881656,92.02958579881656,85.20710059171597,92.02958579881656
2,13,2,100,49,1,100,0,150,99.5,49,0.14285714285714302,0.14285714285714302,92.87213198889023,92.87213198889023,92.45562130177512,104.65458579881656
3,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,94.93754109138722,94.93754109138722,94.93754109138722,114.474030243261
4,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.19082840236683,96.19082840236683,96.19082840236683,120.43583579881656
5,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.94674556213016,96.94674556213016,96.94674556213016,124.34958579881656
6,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.45233399079551,97.45233399079551,97.45233399079551,127.099030243261
7,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.81427363844945,97.81427363844945,97.81427363844945,129.1316266151431
8,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.08616863905324,98.08616863905324,98.08616863905324,130.69364829881653
9,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.29790342610853,98.29790342610853,98.29790342610853,131.93082036671777
10,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.46745562130175,98.46745562130175,98.46745562130175,132.93458579881656
11,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.606288816079,98.606288816079,98.606288816079,133.7651229888992
12,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.72205785667323,98.72205785667323,98.72205785667323,134.46361357659433
13,13,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.8200693253037,98.8200693253037,98.8200693253037,135.05917159763314
1,14,2,100,49,1,100,0,150,99.5,49,1.0,1.0,92.54336734693875,92.54336734693875,86.22448979591834,92.54336734693875
2,14,2,100,49,1,100,0,150,99.5,49,0.13333333333333244,0.13333333333333244,93.34396825396823,93.34396825396823,92.98469387755101,105.16836734693875
3,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,95.29478458049884,95.29478458049884,95.29478458049884,114.9878117913832
4,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.46045918367344,96.46045918367344,96.46045918367344,120.94961734693875
5,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.16326530612244,97.16326530612244,97.16326530612244,124.86336734693874
6,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.63321995464851,97.63321995464851,97.63321995464851,127.61281179138321
7,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.96959600166595,97.96959600166595,97.96959600166595,129.6454081632653
8,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.2222576530612,98.2222576530612,98.2222576530612,131.20742984693877
9,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.41899722852102,98.41899722852102,98.41899722852102,132.44460191483998
10,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.57653061224488,98.57653061224488,98.57653061224488,133.44836734693877
11,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.70551526395681,98.70551526395681,98.70551526395681,134.2789045370214
12,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.81306689342402,98.81306689342402,98.81306689342402,134.9773951247165
13,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.9041178601618,98.9041178601618,98.9041178601618,135.57295314575535
14,14,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.98219491878383,98.98219491878383,98.98219491878383,136.08673469387753
2,2,20,100,49,1,100,0,150,99.5,49,0.0,0.0,0.3171211938933993,0.3171211938933993,0.3171211938933993,49.00009632110596
1,3,20,100,49,1,100,0,150,99.5,49,0.0,0.0,0.030072865982166963,0.030072865982166963,0.030072865982166963,49.01518679732099
2,3,20,100,49,1,100,0,150,99.5,49,0.0,0.0,2.608405330458885,2.608405330458885,2.608405330458885,49.01523495787398
3,3,20,100,49,1,100,0,150,99.5,49,0.05173306429332766,0.05173306429332766,9.861236425504817,9.861236425504817,9.483082985705693,49.030373594641986
1,4,20,100,49,1,100,0,150,99.5,49,0.0,0.0,0.3171211938933993,0.3171211938933993,0.3171211938933993,49.16014620291617
2,4,20,100,49,1,100,0,150,99.5,49,0.0,0.0,6.920875877393029,6.920875877393029,6.920875877393029,49.160194363469145
3,4,20,100,49,1,100,0,150,99.5,49,0.27610006601766995,0.27610006601766995,18.531921092174276,18.531921092174276,17.548046728482745,49.17533300023716
4,4,20,100,49,1,100,0,150,99.5,49,0.6073036795696413,0.6073036795696413,31.841176662207815,31.841176662207815,27.505878988833633,49.32029240583233
1,5,20,100,49,1,100,0,150,99.5,49,0.0,0.0,1.152921504606852,1.152921504606852,1.152921504606852,49.58222535982646
2,5,20,100,49,1,100,0,150,99.5,49,0.1441741531302312,0.1441741531302312,13.11947809661713,13.11947809661713,12.157665459056933,49.58227352037944
3,5,20,100,49,1,100,0,150,99.5,49,0.520680636937839,0.520680636937839,28.72677018378698,28.72677018378698,25.16144232366705,49.59741215714745
4,5,20,100,49,1,100,0,150,99.5,49,0.9907274986070066,0.9907274986070066,49.31666982480146,49.31666982480146,35.848592240854195,49.742371562742626
5,5,20,100,49,1,100,0,150,99.5,49,0.9993316085941417,0.9993316085941417,50.13468291891612,50.13468291891612,44.20024338794074,50.16445071965292
1,6,20,100,49,1,100,0,150,99.5,49,0.0,0.0,2.608405330458885,2.608405330458885,2.608405330458885,50.31724469188174
2,6,20,100,49,1,100,0,150,99.5,49,0.28922887308639933,0.28922887308639933,19.896223334120794,19.896223334120794,17.548046728482745,50.31729285243471
3,6,20,100,49,1,100,0,150,99.5,49,0.7964067121101694,0.7964067121101694,41.35186045064468,41.35186045064468,31.880735010388182,50.332431489202726
4,6,20,100,49,1,100,0,150,99.5,49,0.9995015378119689,0.9995015378119689,50.455298344611215,50.455298344611215,42.6905633769153,50.47739089479791
