S,G,D,ε,β,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
1,4,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.03037414009788037,0.03037414009788037,3.5769383346486796,3.5769383346486796,1.0022595757618546,30.501129787880927
2,4,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.16458910169896318,0.16458910169896318,11.892773082920058,11.892773082920058,11.80670870212488,30.501892727334052
3,4,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.5068627582209416,0.5068627582209416,20.29659048214695,20.29659048214695,24.85324069133381,30.577251729898297
4,4,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.8054065165045013,0.8054065165045013,28.3221751208389,28.3221751208389,35.60741304517928,31.002259575761858
1,5,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.043754405410537205,0.043754405410537205,5.083869954258123,5.083869954258123,2.8147497671065613,31.40737488355328
2,5,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.33338998234615713,0.33338998234615713,16.80059539333882,16.80059539333882,18.530201888518416,31.408137823006406
3,5,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.7517626949097088,0.7517626949097088,27.458135649657624,27.458135649657624,33.15800753945346,31.48349682557065
4,5,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9038878028853295,0.9038878028853295,31.996362546746234,31.996362546746234,44.01266686517653,31.90850467143421
5,5,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9349649591390227,0.9349649591390227,33.82621692025041,33.82621692025041,52.040292466647244,32.81474976710656
1,6,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.07582274554996035,0.07582274554996035,7.117318792983316,7.117318792983316,5.408789293239547,32.704394646619775
2,6,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.514188967419559,0.514188967419559,22.680038567480608,22.680038567480608,24.85324069133381,32.7051575860729
3,6,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.87275720930461,0.87275720930461,32.04866472151946,32.04866472151946,40.07030613199687,32.78051658863714
4,6,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9318077397861024,0.9318077397861024,34.11117830763921,34.11117830763921,50.613399590980045,33.2055244345007
