S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
1,3,3,100,49,1,100,0,150,99.5,49,35,29.90918892277693,0.01724007830085003
1,3,3,100,49,1,100,0,150,99.5,49,36,30.000795003614467,0.02279033223500092
1,3,3,100,49,1,100,0,150,99.5,49,37,30.12172963753686,0.030044789244853168
1,3,3,100,49,1,100,0,150,99.5,49,38,30.280860814794547,0.03946696645649177
1,3,3,100,49,1,100,0,150,99.5,49,39,30.48934730934014,0.05160468610864184
1,3,3,100,49,1,100,0,150,99.5,49,40,30.76093980361978,0.06707669423612009
1,3,3,100,49,1,100,0,150,99.5,49,41,31.11209397468288,0.08653666938306692
1,3,3,100,49,1,100,0,150,99.5,49,42,31.561696051615538,0.11060584177296601
1,3,3,100,49,1,100,0,150,99.5,49,43,32.130124168447274,0.1397697253421948
1,3,3,100,49,1,100,0,150,99.5,49,44,32.837337769830114,0.17424607707777345
1,3,3,100,49,1,100,0,150,99.5,49,45,33.699795832082856,0.21385044128999292
1,3,3,100,49,1,100,0,150,99.5,49,46,34.72636818917653,0.2579058511549531
1,3,3,100,49,1,100,0,150,99.5,49,47,35.914053835762765,0.30524908886287705
1,3,3,100,49,1,100,0,150,99.5,49,48,37.2450199233248,0.3543615130698506
1,3,3,100,49,1,100,0,150,99.5,49,49,38.68665535876056,0.40359993378217035
1,3,3,100,49,1,100,0,150,99.5,49,50,40.19545376836556,0.4514524961091626
1,3,3,100,49,1,100,0,150,99.5,49,51,41.72380598839195,0.4967338381855516
1,3,3,100,49,1,100,0,150,99.5,49,52,43.227333154764736,0.5386708954203216
1,3,3,100,49,1,100,0,150,99.5,49,53,44.67033411030066,0.5768850244206625
1,3,3,100,49,1,100,0,150,99.5,49,54,46.02817727275862,0.6113108848827558
1,3,3,100,49,1,100,0,150,99.5,49,55,47.28695229711526,0.6420963437777032
1,3,3,100,49,1,100,0,150,99.5,49,56,48.44149312038559,0.6695127933046894
1,3,3,100,49,1,100,0,150,99.5,49,57,49.492885124218034,0.6938879227212236
1,3,3,100,49,1,100,0,150,99.5,49,58,50.44617285438821,0.715561420360892
1,3,3,100,49,1,100,0,150,99.5,49,59,51.308571568225425,0.7348589921544411
1,3,3,100,49,1,100,0,150,99.5,49,60,52.088217315143076,0.7520791276222871
1,3,3,100,49,1,100,0,150,99.5,49,61,52.79336728504035,0.7674879150551361
1,3,3,100,49,1,100,0,150,99.5,49,62,53.43193127482753,0.7813185255945152
1,3,3,100,49,1,100,0,150,99.5,49,63,54.01122715013439,0.7937731562746219
