S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
1,8,20,100,30,0,100,0,130,80.0,30,0.06556497608591784,0.06556497608591784,6.318870548685352,6.318870548685352,6.920875877393029,33.460437938696515
2,8,20,100,30,0,100,0,130,80.0,30,0.611655645985979,0.611655645985979,24.347413073495634,24.347413073495634,27.505878988833633,33.460485622412335
3,8,20,100,30,0,100,0,130,80.0,30,0.999874951675452,0.999874951675452,33.47256370853789,33.47256370853789,42.6905633769153,33.475474371687596
4,8,20,100,30,0,100,0,130,80.0,30,0.99941161450183,0.99941161450183,33.6062577025925,33.6062577025925,52.99492846831235,33.618998535643215
5,8,20,100,30,0,100,0,130,80.0,30,0.9983843940936286,0.9983843940936286,34.00531999842665,34.00531999842665,60.26876802191001,34.03689869099994
6,8,20,100,30,0,100,0,130,80.0,30,0.9968389307001515,0.9968389307001515,34.71045177616751,34.71045177616751,65.6345347660714,34.764640603925955
7,8,20,100,30,0,100,0,130,80.0,30,0.9949117113363194,0.9949117113363194,35.67645634960911,35.67645634960911,69.74181568270797,35.75148606259997
8,8,20,100,30,0,100,0,130,80.0,30,0.9927417669110173,0.9927417669110173,36.82980054735458,36.82980054735458,72.9812855990524,36.92087587739303
9,8,20,100,30,0,100,0,130,80.0,30,0.9904403467292,0.9904403467292,38.100324990592284,38.100324990592284,75.59917319059151,38.20197943154936
10,8,20,100,30,0,100,0,130,80.0,30,0.9880880511364808,0.9880880511364808,39.431822941876206,39.431822941876206,77.75746364225746,39.53927066822498
11,8,20,100,30,0,100,0,130,80.0,30,0.9857402221041585,0.9857402221041585,40.78295736242019,40.78295736242019,79.56674820972852,40.89261933990369
12,8,20,100,30,0,100,0,130,80.0,30,0.983433402227783,0.983433402227783,42.12490812410802,42.12490812410802,81.10496570395557,42.23446130293789
13,8,20,100,30,0,100,0,130,80.0,30,0.9811907701939172,0.9811907701939172,43.43843547406516,43.43843547406516,82.42855908906202,43.5466449892846
14,8,20,100,30,0,100,0,130,80.0,30,0.9790262301646238,0.9790262301646238,44.71128681029107,44.71128681029107,83.57937560232246,44.81777034528178
1,9,20,100,30,0,100,0,130,80.0,30,0.12070877236456343,0.12070877236456343,8.724692814340731,8.724692814340731,9.483082985705693,34.741541492852846
2,9,20,100,30,0,100,0,130,80.0,30,0.7974336683438015,0.7974336683438015,30.02243893049085,30.02243893049085,31.880735010388182,34.74158917656867
3,9,20,100,30,0,100,0,130,80.0,30,0.9998898613118254,0.9998898613118254,34.75415894736816,34.75415894736816,47.010154253936335,34.756577925843935
4,9,20,100,30,0,100,0,130,80.0,30,0.9993192786178509,0.9993192786178509,34.88637684293338,34.88637684293338,56.92602663480327,34.900102089799546
5,9,20,100,30,0,100,0,130,80.0,30,0.9980030021883576,0.9980030021883576,35.282204009007565,35.282204009007565,63.79744030578555,35.31800224515627
6,9,20,100,30,0,100,0,130,80.0,30,0.995968834734454,0.995968834734454,35.983610149851174,35.983610149851174,68.80851664652293,36.045744158082286
7,9,20,100,30,0,100,0,130,80.0,30,0.9933866326424258,0.9933866326424258,36.94715138817954,36.94715138817954,72.61440797228228,37.032589616756304
8,9,20,100,30,0,100,0,130,80.0,30,0.9904403467292,0.9904403467292,38.100324990592284,38.100324990592284,75.59917319059151,38.20197943154936
9,9,20,100,30,0,100,0,130,80.0,30,0.9872821156728446,0.9872821156728446,39.373185595960166,39.373185595960166,78.00085483221791,39.48308298570569
10,9,20,100,30,0,100,0,130,80.0,30,0.984025205272702,0.984025205272702,40.70921928151087,40.70921928151087,79.97420730692424,40.82037422238131
11,9,20,100,30,0,100,0,130,80.0,30,0.9807495188065146,0.9807495188065146,42.0665539487742,42.0665539487742,81.62395268541556,42.17372289406002
12,9,20,100,30,0,100,0,130,80.0,30,0.9775094374639867,0.9775094374639867,43.41579608121654,43.41579608121654,83.02338646457399,43.51556485709422
13,9,20,100,30,0,100,0,130,80.0,30,0.9743407754722675,0.9743407754722675,44.73719088271678,44.73719088271678,84.22529671405013,44.82774854344093
14,9,20,100,30,0,100,0,130,80.0,30,0.9712661774582041,0.9712661774582041,46.01806608176868,46.01806608176868,85.2686442391465,46.09887389943811
1,10,20,100,30,0,100,0,130,80.0,30,0.17701559276377415,0.17701559276377415,11.512796353092755,11.512796353092755,12.157665459056933,36.078832729528465
2,10,20,100,30,0,100,0,130,80.0,30,0.9995031703746025,0.9995031703746025,36.067332548562135,36.067332548562135,35.848592240854195,36.078880413244285
3,10,20,100,30,0,100,0,130,80.0,30,0.9998901755619105,0.9998901755619105,36.09157841864676,36.09157841864676,50.761548692356264,36.093869162519546
4,10,20,100,30,0,100,0,130,80.0,30,0.9992237141814777,0.9992237141814777,36.222714606228806,36.222714606228806,60.26876802191001,36.23739332647517
5,10,20,100,30,0,100,0,130,80.0,30,0.9976241619732515,0.9976241619732515,36.615939653881775,36.615939653881775,66.76079717550942,36.65529348183189
6,10,20,100,30,0,100,0,130,80.0,30,0.9950978688884103,0.9950978688884103,37.31460393730681,37.31460393730681,71.4521374790554,37.38303539475791
7,10,20,100,30,0,100,0,130,80.0,30,0.9918434256360324,0.9918434256360324,38.277044339500016,38.277044339500016,74.99304957780993,38.36988085343192
8,10,20,100,30,0,100,0,130,80.0,30,0.9880880511364808,0.9880880511364808,39.431822941876206,39.431822941876206,77.75746364225746,39.53927066822498
9,10,20,100,30,0,100,0,130,80.0,30,0.984025205272702,0.984025205272702,40.70921928151087,40.70921928151087,79.97420730692424,40.82037422238131
10,10,20,100,30,0,100,0,130,80.0,30,0.9798023627664024,0.9798023627664024,42.05238710071439,42.05238710071439,81.79069375972307,42.15766545905693
11,10,20,100,30,0,100,0,130,80.0,30,0.9755259890856238,0.9755259890856238,43.41886458662553,43.41886458662553,83.30599494601428,43.511014130735646
12,10,20,100,30,0,100,0,130,80.0,30,0.9712703826837494,0.9712703826837494,44.77861372798617,44.77861372798617,84.58908104138044,44.852856093769844
13,10,20,100,30,0,100,0,130,80.0,30,0.9670859520141427,0.9670859520141427,46.1112890082419,46.1112890082419,85.68941143416018,46.16503978011656
14,10,20,100,30,0,100,0,130,80.0,30,0.9630058318384379,0.9630058318384379,47.40372642812869,47.40372642812869,86.64336115336529,47.43616513611373
1,11,20,100,30,0,100,0,130,80.0,30,0.2366157775629755,0.2366157775629755,14.564226935390163,14.564226935390163,14.864362802414355,37.432181401207174
2,11,20,100,30,0,100,0,130,80.0,30,0.9999984406232909,0.9999984406232909,37.432193894552846,37.432193894552846,39.43957971208016,37.432229084922994
3,11,20,100,30,0,100,0,130,80.0,30,0.9998863781192391,0.9998863781192391,37.4449507425228,37.4449507425228,54.040675480499125,37.44721783419826
4,11,20,100,30,0,100,0,130,80.0,30,0.99912939486626,0.99912939486626,37.57517433841245,37.57517433841245,63.14159988458924,37.59074199815388
5,11,20,100,30,0,100,0,130,80.0,30,0.9972555045255714,0.9972555045255714,37.96624570221472,37.96624570221472,69.28215799268106,38.0086421535106
6,11,20,100,30,0,100,0,130,80.0,30,0.9942437774231376,0.9942437774231376,38.66289774057698,38.66289774057698,73.68658370714144,38.73638406643662
7,11,20,100,30,0,100,0,130,80.0,30,0.9903162060348356,0.9903162060348356,39.6252493775209,39.6252493775209,76.99408145210016,39.72322952511063
8,11,20,100,30,0,100,0,130,80.0,30,0.9857402221041585,0.9857402221041585,40.78295736242019,40.78295736242019,79.56674820972852,40.89261933990369
9,11,20,100,30,0,100,0,130,80.0,30,0.9807495188065146,0.9807495188065146,42.0665539487742,42.0665539487742,81.62395268541556,42.17372289406002
10,11,20,100,30,0,100,0,130,80.0,30,0.9755259890856238,0.9755259890856238,43.41886458662553,43.41886458662553,83.30599494601428,43.511014130735646
11,11,20,100,30,0,100,0,130,80.0,30,0.9702036015230557,0.9702036015230557,44.7968149173134,44.7968149173134,84.70665158582914,44.864362802414355
12,11,20,100,30,0,100,0,130,80.0,30,0.9648778574854708,0.9648778574854708,46.1696796933673,46.1696796933673,85.89092680152389,46.20620476544855
13,11,20,100,30,0,100,0,130,80.0,30,0.9596151511481066,0.9596151511481066,47.516469277158194,47.516469277158194,86.90527503735467,47.518388451795275
14,11,20,100,30,0,100,0,130,80.0,30,0.9544604683427012,0.9544604683427012,48.823471674218766,48.823471674218766,87.78376420158295,48.789513807792446
1,12,20,100,30,0,100,0,130,80.0,30,0.30092485897007,0.30092485897007,17.80858743114879,17.80858743114879,17.548046728482745,38.77402336424137
2,12,20,100,30,0,100,0,130,80.0,30,0.999998995872709,0.999998995872709,38.77404893432549,38.77404893432549,42.6905633769153,38.77407104795719
3,12,20,100,30,0,100,0,130,80.0,30,0.9998811006926991,0.9998811006926991,38.78677381694839,38.78677381694839,56.92602663480327,38.78905979723246
4,12,20,100,30,0,100,0,130,80.0,30,0.9990383409073493,0.9990383409073493,38.91618163827855,38.91618163827855,65.6345347660714,38.93258396118807
5,12,20,100,30,0,100,0,130,80.0,30,0.9969012674247644,0.9969012674247644,39.30539628127426,39.30539628127426,71.4521374790554,39.3504841165448
6,12,20,100,30,0,100,0,130,80.0,30,0.9934172800872964,0.9934172800872964,40.00051337551176,40.00051337551176,75.59917319059151,40.07822602947081
7,12,20,100,30,0,100,0,130,80.0,30,0.9888266631123594,0.9888266631123594,40.96342334028721,40.96342334028721,78.7002525983195,41.065071488144824
8,12,20,100,30,0,100,0,130,80.0,30,0.983433402227783,0.983433402227783,42.12490812410802,42.12490812410802,81.10496570395557,42.23446130293789
9,12,20,100,30,0,100,0,130,80.0,30,0.9775094374639867,0.9775094374639867,43.41579608121654,43.41579608121654,83.02338646457399,43.51556485709422
10,12,20,100,30,0,100,0,130,80.0,30,0.9712703826837494,0.9712703826837494,44.77861372798617,44.77861372798617,84.58908104138044,44.852856093769844
11,12,20,100,30,0,100,0,130,80.0,30,0.9648778574854708,0.9648778574854708,46.1696796933673,46.1696796933673,85.89092680152389,46.20620476544855
12,12,20,100,30,0,100,0,130,80.0,30,0.9584492080934349,0.9584492080934349,47.55756528537667,47.55756528537667,86.9903157870412,47.548046728482745
13,12,20,100,30,0,100,0,130,80.0,30,0.9520677078663459,0.9520677078663459,48.920605518430534,48.920605518430534,87.93099677937111,48.86023041482946
14,12,20,100,30,0,100,0,130,80.0,30,0.9457911832626725,0.9457911832626725,50.24450117652515,50.24450117652515,88.7449784809114,50.13135577082663
1,13,20,100,30,0,100,0,130,80.0,30,0.3706433509300646,0.3706433509300646,21.20646623797949,21.20646623797949,20.172414101176184,40.086207050588094
2,13,20,100,30,0,100,0,130,80.0,30,0.9999991663428811,0.9999991663428811,40.086236732358465,40.086236732358465,45.63869462012927,40.08625473430391
3,13,20,100,30,0,100,0,130,80.0,30,0.9998753013906561,0.9998753013906561,40.0989174190764,40.0989174190764,59.48120961726288,40.101243483579175
4,13,20,100,30,0,100,0,130,80.0,30,0.9989514758714527,0.9989514758714527,40.22756594332392,40.22756594332392,67.81669942663233,40.24476764753479
5,13,20,100,30,0,100,0,130,80.0,30,0.9965635874598419,0.9965635874598419,40.615102055687544,40.615102055687544,73.33855467540388,40.66266780289152
6,13,20,100,30,0,100,0,130,80.0,30,0.9926243963908572,0.9926243963908572,41.30894850506611,41.30894850506611,77.25426226984423,41.39040971581754
7,13,20,100,30,0,100,0,130,80.0,30,0.9873878829038301,0.9873878829038301,42.27274734619703,42.27274734619703,80.17193069334442,42.377255174491545
8,13,20,100,30,0,100,0,130,80.0,30,0.9811907701939172,0.9811907701939172,43.43843547406516,43.43843547406516,82.42855908906202,43.5466449892846
9,13,20,100,30,0,100,0,130,80.0,30,0.9743407754722675,0.9743407754722675,44.73719088271678,44.73719088271678,84.22529671405013,44.82774854344093
10,13,20,100,30,0,100,0,130,80.0,30,0.9670859520141427,0.9670859520141427,46.1112890082419,46.1112890082419,85.68941143416018,46.16503978011656
11,13,20,100,30,0,100,0,130,80.0,30,0.9596151511481066,0.9596151511481066,47.516469277158194,47.516469277158194,86.90527503735467,47.518388451795275
12,13,20,100,30,0,100,0,130,80.0,30,0.9520677078663459,0.9520677078663459,48.920605518430534,48.920605518430534,87.93099677937111,48.86023041482946
13,13,20,100,30,0,100,0,130,80.0,30,0.9445442555946398,0.9445442555946398,50.30134585589376,50.30134585589376,88.80788806304413,50.17241410117619
14,13,20,100,30,0,100,0,130,80.0,30,0.9371161224059138,0.9371161224059138,51.64378076388428,51.64378076388428,89.56611518986053,51.44353945717336
1,14,20,100,30,0,100,0,130,80.0,30,0.445893008245705,0.445893008245705,24.734207210834448,24.734207210834448,22.714664813170526,41.357332406585265
2,14,20,100,30,0,100,0,130,80.0,30,0.9999992418043699,0.9999992418043699,41.35736396901298,41.35736396901298,48.318634928258234,41.35738009030108
3,14,20,100,30,0,100,0,130,80.0,30,0.9998693977878694,0.9998693977878694,41.36999044161074,41.36999044161074,61.75773028082446,41.372368839576346
4,14,20,100,30,0,100,0,130,80.0,30,0.9988691641125038,0.9988691641125038,41.49790997166437,41.49790997166437,69.74181568270797,41.515893003531964
5,14,20,100,30,0,100,0,130,80.0,30,0.9962432990285377,0.9962432990285377,41.88385800950263,41.88385800950263,74.99304957780993,41.93379315888869
6,14,20,100,30,0,100,0,130,80.0,30,0.9918680642015341,0.9918680642015341,42.57653463079029,42.57653463079029,78.7002525983195,42.66153507181471
