S,D,ε,β,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
4,8,0.05,2.0,8,8,10,0,16,12.0,8,0.04015868154361055,0.04015868154361055,6.302811045251342,6.302811045251342,5.967194738332181,8.8009033203125
4,16,0.05,2.0,8,8,10,0,16,12.0,8,0.054949768956015305,0.054949768956015305,3.9879797282250395,3.9879797282250395,3.5607413045179275,8.080180766060947
4,32,0.05,2.0,8,8,10,0,16,12.0,8,0.045025905506389734,0.045025905506389734,1.6630876675092359,1.6630876675092359,1.2678878637700028,8.000803619405763
4,64,0.05,2.0,8,8,10,0,16,12.0,8,0.02843750768075454,0.02843750768075454,0.4972116103754004,0.4972116103754004,0.16075396350952673,8.000000080725519
4,2,0.05,2.0,9,8,10,0,17,13.0,9,0.027822528866435436,0.027822528866435436,9.020747434701503,9.020747434701503,8.789062499999996,13.499999999999996
4,4,0.05,2.0,9,8,10,0,17,13.0,9,0.030680171374907868,0.030680171374907868,8.007056668477725,8.007056668477725,7.724761962890621,11.531249999999996
4,8,0.05,2.0,9,8,10,0,17,13.0,9,0.03631703767492945,0.03631703767492945,6.331880456046624,6.331880456046624,5.967194738332181,9.8009033203125
4,16,0.05,2.0,9,8,10,0,17,13.0,9,0.04485492744090557,0.04485492744090557,4.014518881632846,4.014518881632846,3.5607413045179275,9.080180766060947
4,32,0.05,2.0,9,8,10,0,17,13.0,9,0.039731638830824374,0.039731638830824374,1.7013877543800047,1.7013877543800047,1.2678878637700028,9.000803619405763
4,64,0.05,2.0,9,8,10,0,17,13.0,9,0.027923502622436612,0.027923502622436612,0.5264245285238776,0.5264245285238776,0.16075396350952673,9.000000080725517
4,2,0.05,2.0,10,8,10,0,18,14.0,10,0.026506193272418464,0.026506193272418464,9.047030552266841,9.047030552266841,8.789062499999996,14.499999999999996
4,4,0.05,2.0,10,8,10,0,18,14.0,10,0.02788196467756119,0.02788196467756119,8.03232354052411,8.03232354052411,7.724761962890621,12.531249999999996
4,8,0.05,2.0,10,8,10,0,18,14.0,10,0.030167083381080075,0.030167083381080075,6.350599385003003,6.350599385003003,5.967194738332181,10.8009033203125
4,16,0.05,2.0,10,8,10,0,18,14.0,10,0.03256438204237527,0.03256438204237527,4.019859958916576,4.019859958916576,3.5607413045179275,10.080180766060947
4,32,0.05,2.0,10,8,10,0,18,14.0,10,0.031048175610567275,0.031048175610567275,1.726662241836684,1.726662241836684,1.2678878637700028,10.000803619405762
4,64,0.05,2.0,10,8,10,0,18,14.0,10,0.02654652735158338,0.02654652735158338,0.5561254235890992,0.5561254235890992,0.16075396350952673,10.000000080725517
4,2,0.05,2.0,0,10,10,0,10,5.0,0,0.7371720407492981,0.7371720407492981,6.477352178722611,6.477352178722611,8.789062499999996,5.625
4,4,0.05,2.0,0,10,10,0,10,5.0,0,0.8896039408818722,0.8896039408818722,3.6863588770996234,3.6863588770996234,7.724761962890621,3.1640625000000013
