S,D,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
5,9,1,2,10,0,3,2.0,1,75,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,76,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,77,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,78,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,79,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,80,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,81,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,82,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,83,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,84,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,85,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,86,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,87,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,88,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,89,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,90,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,91,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,92,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,93,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,94,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,95,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,96,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,97,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,98,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,99,1.2684354560000002,0.9999999999999997
5,9,1,2,10,0,3,2.0,1,100,1.2684354559999997,0.9999999999999996
5,9,1,2,10,0,3,2.0,1,101,1.2684354560000002,0.9999999999999997
5,27,1,2,10,0,3,2.0,1,1,1.0e-6,1.0e-6
5,27,1,2,10,0,3,2.0,1,2,0.9964222271605145,0.3321419879158677
5,27,1,2,10,0,3,2.0,1,3,0.6241328335253126,0.48138106353059185
5,27,1,2,10,0,3,2.0,1,4,0.6372451465815339,0.5677922261686997
5,27,1,2,10,0,3,2.0,1,5,0.6698166280289942,0.6244609576497395
5,27,1,2,10,0,3,2.0,1,6,0.6987121332014614,0.6645406302886329
5,27,1,2,10,0,3,2.0,1,7,0.7222906180711609,0.6943710569320436
5,27,1,2,10,0,3,2.0,1,8,0.7414033508705,0.7174058996842907
5,27,1,2,10,0,3,2.0,1,9,0.7570325353981127,0.7356949603600325
5,27,1,2,10,0,3,2.0,1,10,0.7699651598457758,0.7505349369580111
5,27,1,2,10,0,3,2.0,1,11,0.780792002456922,0.7627877178712315
5,27,1,2,10,0,3,2.0,1,12,0.789952726946389,0.7730493169602034
5,27,1,2,10,0,3,2.0,1,13,0.7977770662186274,0.7817454837048595
5,27,1,2,10,0,3,2.0,1,14,0.8045155005669117,0.7891887007871566
5,27,1,2,10,0,3,2.0,1,15,0.8103610017879154,0.7956136556111358
5,27,1,2,10,0,3,2.0,1,16,0.8154643090246713,0.8012001293261205
5,27,1,2,10,0,3,2.0,1,17,0.8199447201225888,0.8060882307554346
5,27,1,2,10,0,3,2.0,1,18,0.823897799822097,0.8103888104738393
