S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,asymptotic_cost,comp_cost,bespoke_cost
18,256,10,0,100,9,1,0.9999999997608334,1.0000070680319795,1.0000070680319795,4.5323464936727955
19,256,10,0,100,9,1,0.9999999998248288,1.0000155943879376,1.0000155943879376,4.915826071617632
20,256,10,0,100,9,1,0.9999999998501918,1.0000317225002027,1.0000317225002027,5.2687005497871855
2,512,10,0,100,9,1,4.9999999999999976e-11,4.999999910079998e-9,4.999999910079998e-9,0.0
3,512,10,0,100,9,1,4.9999999999999976e-11,4.999999934151109e-9,4.999999934151109e-9,0.0
4,512,10,0,100,9,1,5.0000000000053445e-11,5.000044357320951e-9,5.000044357320951e-9,4.4408920985006255e-14
5,512,10,0,100,9,1,5.000000803790057e-11,1.3372811284133307e-8,1.3372811284133307e-8,8.372811333146045e-9
6,512,10,0,100,9,1,5.0004380876086293e-11,5.449503911593553e-6,5.449503911593553e-6,5.444503915486009e-6
7,512,10,0,100,9,1,5.0180980498090165e-11,0.0002600931475293411,0.0002600931475293411,0.0002600881476955141
8,512,10,0,100,9,1,5.1996213690458546e-11,0.0031493094019979548,0.0031493094019979548,0.0031493044038854996
9,512,10,0,100,9,1,6.158340580794511e-11,0.01728796200253466,0.01728796200253466,0.017287957013619733
10,512,10,0,100,9,1,1.1689870073398487e-10,0.05823977262386762,0.05823977262386762,0.058239767686636405
11,512,10,0,100,9,1,0.006427428228978156,0.13058879362594183,0.13058879362594183,0.14278690311983253
12,512,10,0,100,9,1,0.02814585328420835,0.15860423445219163,0.15860423445219163,0.2821338721240096
13,512,10,0,100,9,1,0.05604088843680856,0.14966333011959054,0.14966333011959054,0.4790264359827511
14,512,10,0,100,9,1,0.09287973886792665,0.14062395947954726,0.14062395947954726,0.7288069124413287
15,512,10,0,100,9,1,0.14109828708456476,0.15857160912334184,0.15857160912334184,1.0222005588974945
16,512,10,0,100,9,1,0.20233738742486118,0.2070262401817869,0.2070262401817869,1.34806285612013
17,512,10,0,100,9,1,0.27768156809038724,0.2786285022212135,0.2786285022212135,1.6953455918265046
18,512,10,0,100,9,1,0.3679832165809552,0.36813043726730255,0.36813043726730255,2.0542164738708086
19,512,10,0,100,9,1,0.4739815945391307,0.4739995489805545,0.4739995489805545,2.416534596639564
20,512,10,0,100,9,1,0.596336519272415,0.5963382646770288,0.5963382646770288,2.7759205483327793
2,2,10,0,100,10,1,1.9999999993999857e-10,5.6250000047937485,5.6250000047937485,5.624999999999998
3,2,10,0,100,10,1,1.2272727270805146e-10,7.901234572530412,7.901234572530412,7.90123456790123
4,2,10,0,100,10,1,9.411764704999776e-11,8.789062504571573,8.789062504571573,8.789062499999996
5,2,10,0,100,10,1,8.116883116351443e-11,9.216000004545428,9.216000004545428,9.215999999999996
6,2,10,0,100,10,1,7.397260273602944e-11,9.452160498358543,9.452160498358543,9.452160493827154
7,2,10,0,100,10,1,6.943319837777045e-11,9.596001670495484,9.596001670495484,9.596001665972507
8,2,10,0,100,10,1,6.63212435210827e-11,9.689941410767538,9.689941410767538,9.689941406249996
9,2,10,0,100,10,1,6.405975395245393e-11,9.75461058216967,9.75461058216967,9.75461057765584
10,2,10,0,100,10,1,6.234413964929485e-11,9.801000004511181,9.801000004511181,9.800999999999995
11,2,10,0,100,10,1,6.099908340834324e-11,9.835393761766243,9.835393761766243,9.835393757257014
12,2,10,0,100,10,1,5.991678224566605e-11,9.861593368705273,9.861593368705273,9.861593364197528
13,2,10,0,100,10,1,5.902740462008503e-11,9.882006937036964,9.882006937036964,9.882006932530368
14,2,10,0,100,10,1,5.828377230148094e-11,9.898219496384062,9.898219496384062,9.89821949187838
15,2,10,0,100,10,1,5.765288691403271e-11,9.911308646480249,9.911308646480249,9.911308641975303
16,2,10,0,100,10,1,5.711098717151188e-11,9.922027592394963,9.922027592394963,9.922027587890621
17,2,10,0,100,10,1,5.664053493121724e-11,9.930915582621918,9.930915582621918,9.930915578118073
18,2,10,0,100,10,1,5.6228306979621457e-11,9.938366869310615,9.938366869310615,9.93836686480719
19,2,10,0,100,10,1,5.586414725458943e-11,9.944675076057159,9.944675076057159,9.944675071554082
