S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
10,9,10,0,10.001,1,1,64,3.3347676844094,0.7121229372043357
10,9,10,0,10.001,1,1,65,3.334767655488275,0.7121229410676436
10,9,10,0,10.001,1,1,66,3.334767638686859,0.7121229433119897
10,9,10,0,10.001,1,1,67,3.334767628926262,0.7121229446158176
10,9,10,0,10.001,1,1,68,3.3347676232559533,0.7121229453732623
10,9,10,0,10.001,1,1,69,3.3347676199618497,0.7121229458132916
10,9,10,0,10.001,1,1,70,3.3347676180481756,0.7121229460689219
10,9,10,0,10.001,1,1,71,3.3347676169364453,0.7121229462174272
10,9,10,0,10.001,1,1,72,3.334767616290602,0.7121229463037002
10,9,10,0,10.001,1,1,73,3.3347676159154034,0.7121229463538195
10,9,10,0,10.001,1,1,74,3.334767615697436,0.7121229463829355
